Timestamp,Status,Message
2025-05-09 15:27:28,initialize,🚀 Starting report generation process...
2025-05-09 15:27:28,initialize,🚀 Request created: 20250509_f5a5930d
2025-05-09 15:27:28,info,💲 You can view the cost metrics for this request at http://192.168.100.4:8000/api/metrics/20250509_f5a5930d
2025-05-09 15:27:28,info,"ℹ️ To view the system log, please visit http://192.168.100.4:8000/api/logs/20250509_f5a5930d"
2025-05-09 15:27:28,generating,💭 Report generation process started. This may take a while.
2025-05-09 15:27:28,generating,📋 Generating Table of Contents...
2025-05-09 15:28:21,generating,📋 Extracting Table of Contents...
2025-05-09 15:28:25,generating,"📑 Report Title: KB국민카드, 하나카드, 우리카드 프리미엄 신용카드 경쟁력 심층 비교 분석 및 시장 선도 전략 제언"
2025-05-09 15:28:25,generating,🔍 Found 8 sections to process
2025-05-09 15:28:25,generating,📝 Generating section 1: II. 국내 프리미엄 신용카드 시장 동향 및 경쟁 환경 분석: 기회와 도전 과제
2025-05-09 15:29:07,polishing,✨ Polishing section 1: II. 국내 프리미엄 신용카드 시장 동향 및 경쟁 환경 분석: 기회와 도전 과제
2025-05-09 15:30:15,generating,✅ Section 1 completed: II. 국내 프리미엄 신용카드 시장 동향 및 경쟁 환경 분석: 기회와 도전 과제
2025-05-09 15:30:15,saving,💾 Saving report files...
2025-05-09 15:30:15,saving,✅ PDF generated successfully: reports\20250509_153015_20250509_f5a5930d_korean.pdf
2025-05-09 15:30:15,uploading,📤 Uploading PDF to Google Cloud Storage...
2025-05-09 15:30:18,uploading,✅ PDF uploaded successfully to korean folder: korean/20250509_153015_20250509_f5a5930d_korean.pdf
2025-05-09 15:30:18,url,🌐 Public URL: https://storage.googleapis.com/credit-card-reports/korean/20250509_153015_20250509_f5a5930d_korean.pdf
2025-05-09 15:30:18,metrics,======================================================================
2025-05-09 15:30:18,metrics,📊 Overall Total Usage:
2025-05-09 15:30:18,metrics,"   ├─ Total Input Tokens:  16,606"
2025-05-09 15:30:18,metrics,"   ├─ Total Output Tokens: 10,804"
2025-05-09 15:30:18,metrics,"   └─ Total All Tokens:   27,410"
2025-05-09 15:30:18,metrics,   └─ Total Cost:         $0.085840
2025-05-09 15:30:18,metrics,======================================================================
2025-05-09 15:30:18,completed,✅ Report generation process completed!
