Timestamp,Status,Message
2025-05-09 14:47:47,initialize,🚀 Starting report generation process...
2025-05-09 14:47:47,initialize,🚀 Request created: 20250509_0b765cd1
2025-05-09 14:47:47,info,💲 You can view the cost metrics for this request at http://192.168.100.4:8000/api/metrics/20250509_0b765cd1
2025-05-09 14:47:47,info,"ℹ️ To view the system log, please visit http://192.168.100.4:8000/api/logs/20250509_0b765cd1"
2025-05-09 14:47:48,generating,💭 Report generation process started. This may take a while.
2025-05-09 14:47:48,generating,📋 Generating Table of Contents...
2025-05-09 14:48:34,generating,📋 Extracting Table of Contents...
2025-05-09 14:48:38,generating,📑 Report Title: KB국민은행 임원진을 위한 프리미엄 신용카드 시장 경쟁력 강화 전략 보고서: 주요 경쟁사 상품 심층 비교 분석
2025-05-09 14:48:38,generating,🔍 Found 7 sections to process
2025-05-09 14:48:38,generating,📝 Generating section 1: II. 국내 프리미엄 신용카드 시장 동향 분석
2025-05-09 14:49:09,polishing,✨ Polishing section 1: II. 국내 프리미엄 신용카드 시장 동향 분석
2025-05-09 14:50:21,generating,✅ Section 1 completed: II. 국내 프리미엄 신용카드 시장 동향 분석
2025-05-09 14:50:21,saving,💾 Saving report files...
2025-05-09 14:50:22,saving,✅ PDF generated successfully: reports\20250509_145021_20250509_0b765cd1_korean.pdf
2025-05-09 14:50:22,uploading,📤 Uploading PDF to Google Cloud Storage...
2025-05-09 14:50:24,uploading,✅ PDF uploaded successfully to korean folder: korean/20250509_145021_20250509_0b765cd1_korean.pdf
2025-05-09 14:50:24,url,🌐 Public URL: https://storage.googleapis.com/credit-card-reports/korean/20250509_145021_20250509_0b765cd1_korean.pdf
2025-05-09 14:50:24,metrics,======================================================================
2025-05-09 14:50:24,metrics,📊 Overall Total Usage:
2025-05-09 14:50:24,metrics,"   ├─ Total Input Tokens:  14,398"
2025-05-09 14:50:24,metrics,"   ├─ Total Output Tokens: 8,634"
2025-05-09 14:50:24,metrics,"   └─ Total All Tokens:   23,032"
2025-05-09 14:50:24,metrics,   └─ Total Cost:         $0.068610
2025-05-09 14:50:24,metrics,======================================================================
2025-05-09 14:50:24,completed,✅ Report generation process completed!
