Timestamp,Status,Message
2025-05-09 14:11:56,initialize,🚀 Starting report generation process...
2025-05-09 14:11:56,initialize,🚀 Request created: xxxxxtt
2025-05-09 14:11:56,info,💲 You can view the cost metrics for this request at http://192.168.100.4:8000/api/logs?request_id=xxxxxtt
2025-05-09 14:11:56,generating,💭 Report generation process started. This may take a while.
2025-05-09 14:11:56,generating,📋 Generating Table of Contents...
2025-05-09 14:12:50,generating,📋 Extracting Table of Contents...
2025-05-09 14:12:54,generating,"📑 Report Title: KB국민카드, 프리미엄 시장 리더십 강화를 위한 경쟁 우위 확보 전략: 하나은행 및 우리은행 상품 심층 비교 분석"
2025-05-09 14:12:54,generating,📑 Found 7 sections to process
2025-05-09 14:12:54,generating,📝 Generating section 1: 서론: 국내 프리미엄 신용카드 시장 동향 및 경쟁 환경 분석
2025-05-09 14:13:33,polishing,✨ Polishing section 1: 서론: 국내 프리미엄 신용카드 시장 동향 및 경쟁 환경 분석
2025-05-09 14:14:00,generating,✅ Section 1 completed: 서론: 국내 프리미엄 신용카드 시장 동향 및 경쟁 환경 분석
2025-05-09 14:14:00,saving,💾 Saving report files...
2025-05-09 14:14:00,saving,✅ PDF generated successfully: reports\20250509_141400_xxxxxtt_korean.pdf
2025-05-09 14:14:00,uploading,📤 Uploading PDF to Google Cloud Storage...
2025-05-09 14:14:03,uploading,✅ PDF uploaded successfully to korean folder: korean/20250509_141400_xxxxxtt_korean.pdf
2025-05-09 14:14:03,uploading,🔗 Public URL: https://storage.googleapis.com/credit-card-reports/korean/20250509_141400_xxxxxtt_korean.pdf
2025-05-09 14:14:03,metrics,======================================================================
2025-05-09 14:14:03,metrics,📊 Overall Total Usage:
2025-05-09 14:14:03,metrics,"   ├─ Total Input Tokens:  17,442"
2025-05-09 14:14:03,metrics,"   ├─ Total Output Tokens: 10,173"
2025-05-09 14:14:03,metrics,"   └─ Total All Tokens:   27,615"
2025-05-09 14:14:03,metrics,   └─ Total Cost:         $0.087848
2025-05-09 14:14:03,metrics,======================================================================
2025-05-09 14:14:03,completed,✅ Report generation process completed!
